Mean Probability,Standard Deviation
0.32752797,0.46319455
0.32303563,0.45684138
0.3268621,0.4622528
0.3703322,0.44391355
0.6179957,0.43996942
0.64234835,0.45469537
0.3316091,0.46896613
0.60099506,0.43222412
0.6331186,0.44771188
0.32271686,0.4563906
0.6556818,0.4606249
0.94835275,0.03171909
0.6646399,0.46495017
0.45365095,0.3800936
0.38246915,0.30734926
0.661478,0.46774086
0.6584127,0.46560016
0.72966343,0.37015173
0.6559856,0.4638681
0.6218998,0.4403449
0.9770629,0.018604375
0.97676605,0.009236716
0.66310006,0.46888915
0.6569414,0.46453068
0.6015339,0.43137708
0.9752287,0.021764947
0.6523878,0.46151653
0.64772034,0.45825794
0.48881283,0.38969702
0.33003494,0.46673992
0.6630991,0.46889526
0.6535456,0.4622238
0.30278805,0.3932244
0.908864,0.114386134
0.6593363,0.4662513
0.3322084,0.46981362
0.5665998,0.41003677
0.3192694,0.45151508
0.63767314,0.45210028
0.6636701,0.46928903
0.32920483,0.46556595
0.66150635,0.44847536
0.5875029,0.41743448
0.6516779,0.46099958
0.66386825,0.4694272
0.30108544,0.4182578
0.64709437,0.45760575
0.6325839,0.44911823
0.63894075,0.45206565
0.32009467,0.4526822
0.63214284,0.44740346
0.5870466,0.4155437
0.3269985,0.4624457
0.6276273,0.44388062
0.3092184,0.43730086
0.65261656,0.4616886
0.6647311,0.47003603
0.3660107,0.44757172
0.41150555,0.3872748
0.9851825,0.014383878
0.9093358,0.09633058
0.65607834,0.46402264
0.3739555,0.42123055
0.98759085,0.013310305
0.6561393,0.46400797
0.31712726,0.44848564
0.6558811,0.46380138
0.6405545,0.45384917
0.9824528,0.014633837
0.6616924,0.46791893
0.6616741,0.46789962
0.64380074,0.45554167
0.6505588,0.46042106
0.482746,0.38756797
0.64758664,0.4582258
0.6404462,0.4535918
0.6471681,0.45819095
0.6594891,0.46632922
0.6401485,0.45366248
0.55850977,0.40694836
0.97667867,0.026000157
0.14500137,0.11132716
0.6460936,0.45690477
0.5211227,0.4090035
0.32517198,0.45986265
0.6520954,0.46136674
0.2954736,0.34797868
0.62756014,0.44495478
0.30882028,0.4367378
0.6481475,0.45847875
0.6572205,0.46484068
0.65342385,0.46204492
0.6296932,0.44678745
0.65910643,0.46606177
0.9808323,0.023621885
0.6349444,0.44994092
0.6969829,0.38165092
0.3297835,0.46638426
0.65551895,0.46358582
0.5764577,0.4211792
0.6495667,0.45977116
0.32179675,0.45508933
0.6348824,0.44908398
0.6332405,0.44878885
0.3319243,0.46941185
0.6446468,0.45624298
0.3320003,0.4695193
0.030707354,0.04342676
0.6126487,0.43553203
0.66117615,0.4675251
0.64413357,0.45594117
0.6198285,0.44006902
0.5501456,0.4138203
0.6725777,0.44128865
0.38501653,0.42065755
0.9714143,0.02858996
0.98130935,0.0042570927
0.32739976,0.46301314
0.6668346,0.44386953
0.32515863,0.45984378
0.6579531,0.46527442
0.9174127,0.105455555
0.31427184,0.44444752
0.6630351,0.46883696
0.34449556,0.4476878
0.1901735,0.26894596
0.65782183,0.46524146
0.98700947,0.005835541
0.348779,0.45514053
0.3324122,0.4628189
0.64707196,0.44442976
0.37643418,0.2997311
0.65076333,0.4604887
0.6652105,0.4633091
0.4425321,0.40997776
0.65255284,0.4616908
0.3797085,0.4371634
0.6364554,0.45104465
0.65209633,0.46141434
0.6940263,0.39698592
0.6252318,0.44408622
0.94989413,0.054930568
0.7226629,0.20807374
0.6566712,0.4643371
0.42133975,0.42192042
0.663538,0.43211994
0.32481316,0.45935515
0.32869986,0.446861
0.98268914,0.01360877
0.7352074,0.29668882
0.66182435,0.46798256
0.6444185,0.45594007
0.33957586,0.45034415
0.63320273,0.44786844
0.34460917,0.43876648
0.6502311,0.45999444
0.39243218,0.39346367
0.32830563,0.46429422
0.66021043,0.46684247
0.6628537,0.4687266
0.2679559,0.37894684
0.6620655,0.46817896
0.35906777,0.44846505
0.6563413,0.46425918
0.9917566,0.0032689234
0.65788436,0.4651946
